COUNTY,"SUM of 2016
Cases","SUM of 2017
Cases","SUM of 2018
Cases","SUM of 2019
Cases","SUM of 2020
Cases",,COUNTY,"SUM of 2016
Cases","SUM of 2017
Cases","SUM of 2018
Cases","SUM of 2019
Cases","SUM of 2020
Cases",,,,,,,,
 San Luis Obispo,3 ,9 ,10 ,12 ,7 ,, San Luis Obispo,3 ,9 ,10 ,12 ,7 ,,,,,,,,
 San Mateo,53 ,62 ,73 ,96 ,109 ,, San Mateo,53 ,62 ,73 ,96 ,109 ,,,,,,,,
 Santa Barbara,27 ,41 ,39 ,47 ,47 ,, Santa Barbara,27 ,41 ,39 ,47 ,47 ,,,,,,,,
 Santa Clara,135 ,198 ,232 ,229 ,230 ,, Santa Clara,135 ,198 ,232 ,229 ,230 ,,,,,,,,
 Santa Cruz,25 ,31 ,26 ,18 ,20 ,, Santa Cruz,25 ,31 ,26 ,18 ,20 ,,,,,,,,
 Shasta,8 ,17 ,15 ,14 ,8 ,, Shasta,8 ,17 ,15 ,14 ,8 ,,,,,,,,
 Sierra,0 ,0 ,0 ,0 ,0 ,, Sierra,0 ,0 ,0 ,0 ,0 ,,,,,,,,
 Siskiyou,0 ,1 ,0 ,2 ,4 ,, Siskiyou,0 ,1 ,0 ,2 ,4 ,,,,,,,,
 Solano,21 ,35 ,53 ,38 ,54 ,, Solano,21 ,35 ,53 ,38 ,54 ,,,,,,,,
 Sonoma,38 ,56 ,56 ,76 ,53 ,, Sonoma,38 ,56 ,56 ,76 ,53 ,,,,,,,,
 Stanislaus,47 ,66 ,82 ,90 ,78 ,, Stanislaus,47 ,66 ,82 ,90 ,78 ,,,,,,,,
 Sutter,0 ,1 ,5 ,26 ,32 ,, Sutter,0 ,1 ,5 ,26 ,32 ,,,,,,,,
 Tehama,1 ,0 ,6 ,2 ,6 ,, Tehama,1 ,0 ,6 ,2 ,6 ,,,,,,,,
 Trinity,0 ,1 ,0 ,0 ,1 ,, Trinity,0 ,1 ,0 ,0 ,1 ,,,,,,,,
 Tulare,55 ,35 ,20 ,19 ,39 ,, Tulare,55 ,35 ,20 ,19 ,39 ,,,,,,,,
 Tuolumne,0 ,2 ,1 ,2 ,2 ,, Tuolumne,0 ,2 ,1 ,2 ,2 ,,,,,,,,
 Ventura,22 ,42 ,58 ,77 ,74 ,, Ventura,22 ,42 ,58 ,77 ,74 ,,,,,,,,
 Yolo,12 ,11 ,16 ,18 ,28 ,, Yolo,12 ,11 ,16 ,18 ,28 ,,,,,,,,
 Yuba,2 ,3 ,4 ,13 ,14 ,, Yuba,2 ,3 ,4 ,13 ,14 ,,,,,,,,
Grand Total,"10,872 ","14,306 ","15,699 ","16,904 ","15,461 ",,Grand Total,"10,872 ","14,306 ","15,699 ","16,904 ","15,461 ",,,,,,,,
